job_id,industry_id
4315530987,96
4395063729,96
4403941128,96
4229839916,57
4424094242,146
4413911434,4
4413434842,43
4241960589,57
4422904571,4
4422903633,96
4422903633,4
4422903633,1594
4413452021,43
4413431895,43
4404822885,96
4404822885,4
4404822885,137
4424083482,1594
4404073238,57
4391861641,7
4424086669,96
4422907561,4
4422907561,96
4419687555,4
4413556039,8
4229843284,57
4424088473,6
4383703142,44
4229841488,57
4424095069,104
4424073927,96
4424072934,44
4378744887,57
4419696224,4
4413428892,3235
4424083665,1530001
4413450625,43
4422916389,3231
4422916389,43
4229840657,57
4373920748,57
3853091293,55
4424085592,104
4422913440,4
4396453535,96
4424087527,96
4424087527,84
4422905584,11
4424094216,6
4424082529,3242
4403956770,4
4422921377,12
4424085519,6
4419691624,96
4424070969,118
4422906575,1285
4422906575,3259
4422906575,3127
4229846161,57
4422911507,11
4413927989,4
4422902567,11
4363494973,1810
4419254463,3247
4424075742,4
4401652594,43
4413441706,96
4422359311,4
4422359311,43
4422359311,1696
4422911602,45
4422911602,43
4422911602,41
4391850327,4
4424085524,48
4424068646,3231
4424088405,48
